number,course_id,question_type,question_text,option_a,option_b,option_c,option_d,option_e,correct_answers,explanation,is_active
292,206,single,"During a follow-up audit, it was found that a complex security vulnerability of low risk was
not resolved within the agreed-upon timeframe. IT has stated that the system with the
identified vulnerability is being replaced and is expected to be fully functional in two months

Which of the following is the BEST course of action?",Require documentation that the finding will be addressed within the new system,Schedule a meeting to discuss the issue with senior management,Perform an ad hoc audit to determine if the vulnerability has been exploited,Recommend the finding be resolved prior to implementing the new system,,A,"Requiring documentation that the finding will be addressed within the new system is the
best course of action for a follow-up audit. An IS auditor should obtain evidence that the
complex security vulnerability of low risk will be resolved in the new system and that there
is a reasonable timeline for its implementation. The other options are not appropriate
courses of action, as they may be too costly, time-consuming, or impractical for a low-risk
finding. References:
CISA Review Manual (Digital Version), Chapter 2, Section 2.5.31
CISA Review Questions, Answers& Explanations Database, Question ID 209",True
293,206,single,"Which of the following findings should be of GREATEST concern for an IS auditor when
auditing the effectiveness of a phishing simu-lation test administered for staff members?",Staff members who failed the test did not receive follow-up education,Test results were not communicated to staff members.,Staff members were not notified about the test beforehand.,Security awareness training was not provided prior to the test.,,A,"The IS auditor should be most concerned about the lack of follow-up education for staff
members who failed the phishing simulation test. Phishing simulation tests are designed to
assess the level of awareness and susceptibility of staff members to phishing attacks, and
to provide feedback and training to improve their security behavior. If staff members who
failed the test do not receive follow-up education, they will not learn from their mistakes and
may continue to fall victim to real phishing attacks, which could compromise the security of
the organization.
The other options are less concerning for the IS auditor:
Test results were not communicated to staff members. This is not ideal, as staff
members should receive feedback on their performance and learn from the test

results. However, this does not necessarily mean that they did not receive any
training or education on how to avoid phishing attacks.
Staff members were not notified about the test beforehand. This is a common
practice for phishing simulation tests, as it mimics the real-world scenario where
staff members do not know when they will receive a phishing email. The purpose
of the test is to measure their spontaneous reaction and awareness, not their
preparedness or compliance.
Security awareness training was not provided prior to the test. This is not a major
concern, as the test can serve as a baseline measurement of the current level of
awareness and susceptibility of staff members, and as a starting point for providing
tailored training and education based on the test results.",True
294,206,single,"When planning an audit to assess application controls of a cloud-based system, it is MOST
important tor the IS auditor to understand the.",architecture and cloud environment of the system.,business process supported by the system.,policies and procedures of the business area being audited.,availability reports associated with the cloud-based system.,,B,"The business process supported by the system is the most important factor for an IS
auditor to understand when planning an audit to assess application controls of a cloud-
based system. An IS auditor should have a clear understanding of the business objectives,
requirements, and risks of the process, as well as the expected outputs and outcomes of
the system. This will help the IS auditor to determine the scope, objectives, and criteria of
the audit, as well as to identify and evaluate the key application controls that ensure the
effectiveness, efficiency, and reliability of the process. The other options are less important
factors that may provide additional information or context for the audit, but not its primary
focus. References:
CISA Review Manual (Digital Version), Chapter 5,Section 5.31
CISA Review Questions, Answers & Explanations Database, Question ID 212",True
295,206,single,"A month after a company purchased and implemented system and performance monitoring
software, reports were too large and therefore were not reviewed or acted upon The MOST
effective plan of action would be to:",evaluate replacement systems and performance monitoring software.,restrict functionality of system monitoring software to security-related events.,re-install the system and performance monitoring software.,"use analytical tools to produce exception reports from the system and performance
monitoring software",,D,"Using analytical tools to produce exception reports from the system and performance
monitoring software is the most effective plan of action for a company that purchased and
implemented system and performance monitoring software. Exception reports are reports
that highlight deviations or anomalies from predefined thresholds or standards. Using
analytical tools to produce exception reports can help to reduce the size and complexity of
the system and performance monitoring reports, as well as to focus on the most relevant
and critical information for review and action. The other options are less effective plans of
action, as they may involve unnecessary costs, risks, or efforts. References:
CISA Review Manual (Digital Version), Chapter 4, Section 4.2.21
CISA Review Questions, Answers & Explanations Database, Question ID 219",True
296,206,single,"The PRIMARY reason for an IS auditor to use data analytics techniques is to reduce which
type of audit risk?",Technology risk,Detection risk,Control risk,Inherent risk,,B,"The primary reason for an IS auditor to use data analytics techniques is to reduce detection
risk. Detection risk is the risk that an IS auditor will fail to detect material errors or
irregularities in the information systems environment. By using data analytics techniques,
such as data extraction, analysis, visualization, and reporting, an IS auditor can enhance
the audit scope, coverage, efficiency, and effectiveness. Data analytics techniques can

help an IS auditor to identify anomalies, patterns, trends, correlations, and outliers in large
volumes of data that may indicate potential issues or risks. Technology risk, control risk,
and inherent risk are types of audit risk that are not directly affected by the use of data
analytics techniques by an IS auditor. References: [ISACA Journal Article: Data Analytics
for Auditors]",True
297,206,single,"Which of the following types of environmental equipment will MOST likely be deployed
below the floor tiles of a data center?",Temperature sensors,Humidity sensors,Water sensors,Air pressure sensors,,C,"Water sensors are devices that can detect the presence of water or moisture in a given
area. They are often deployed below the floor tiles of a data center to monitor for any water
leaks that may damage the equipment or cause electrical hazards. Water sensors can alert
the data center staff or trigger an automatic response to prevent or mitigate the water
leakage.
The other options are not likely to be deployed below the floor tiles of a data center.
Temperature sensors and humidity sensors are usually deployed above the floor tiles to
measure the ambient conditions of the data center and ensure optimal cooling and
ventilation. Air pressure sensors are typically deployed at the air vents or ducts to monitor
the airflow and pressure distribution in the data center.
References:
Data Center Environmental Monitoring
Water Detection in Data Centers",True
298,206,single,"Which of the following is the BEST metric to measure the alignment of IT and business
strategy?",Level of stakeholder satisfaction with the scope of planned IT projects,Percentage of enterprise risk assessments that include IT-related risk,Percentage of stat satisfied with their IT-related roles,Frequency of business process capability maturity assessments,,B,"The best metric to measure the alignment of IT and business strategy is the percentage of
enterprise risk assessments that include IT-related risk. This metric indicates how well the
organization identifies and manages the IT risks that could affect its strategic objectives
and performance. A high percentage of enterprise risk assessments that include IT-related
risk shows that the organization considers IT as an integral part of its business strategy and
aligns its IT resources and capabilities with its business needs and goals . References: :
CISA Review Manual (Digital Version), Chapter 2: Governance and Management of IT,
Section 2.2: IT Strategy, page 67 : CISA Online Review Course, Module 2: Governance
and Management of IT, Lesson 2.2: IT Strategy",True
299,206,single,"Which of the following would be of GREATEST concern when reviewing an organization's
security information and event management (SIEM) solution?",SIEM reporting is customized.,SIEM configuration is reviewed annually,The SIEM is decentralized.,SIEM reporting is ad hoc.,,C,"The greatest concern that the IS auditor should have when reviewing an organization’s
security information and event management (SIEM) solution is that the SIEM is
decentralized. This is because a decentralized SIEM can pose challenges for collecting,
correlating, analyzing and reporting on security events and incidents from multiple sources
and locations. A decentralized SIEM can also increase the complexity and cost of
maintaining and updating the SIEM components, as well as the risk of inconsistent or
incomplete security monitoring and response. The IS auditor should recommend that the

organization adopts a centralized or hybrid SIEM architecture that can provide a holistic
and integrated view of the security posture and activities across the organization. The other
findings are not as concerning as a decentralized SIEM, because they can be addressedby
implementing best practices and standards for SIEM reporting and
configuration. References: CISA Review Manual (Digital Version)1, Chapter 5, Section
5.2.4",True
300,206,single,"Which of the following will BEST ensure that a proper cutoff has been established to
reinstate transactions and records to their condition just prior to a computer system failure?",Rotating backup copies of transaction files offsite,"Using a database management system (DBMS) to dynamically back-out partially
processed transactions",Maintaining system console logs in electronic formal,Ensuring bisynchronous capabilities on all transmission lines,,B,"The best way to ensure that a proper cutoff has been established to reinstate transactions
and records to their condition just prior to a computer system failure is to use a database
management system (DBMS) to dynamically back-out partially processed transactions. A
DBMS is a software system that manages the creation, manipulation, retrieval, and security
of data stored in a database. A DBMS can provide features such as transaction
management, concurrency control, recovery management, and integrity management. A
DBMS can dynamically back-out partially processed transactions by using mechanisms
such as rollback segments, undo logs, or write-ahead logs. These mechanisms allow the
DBMS to restore the database to a consistent state before the failure
occurred. References:
CISA Review Manual (Digital Version)
CISA Questions, Answers &Explanations Database",True
301,206,single,The PRIMARY objective of value delivery in reference to IT governance is to:,promote best practices,increase efficiency.,optimize investments.,ensure compliance.,,C,"The primary objective of value delivery in reference to IT governance is to optimize
investments. Value delivery is one of the five focus areas of IT governance that aims to
ensure that IT delivers expected benefits to stakeholders and enables business value
creation. Value delivery involves aligning IT investments with business objectives and
strategies, managing IT performance and benefits realization, optimizing IT costs and risks,
and enhancing IT innovation and agility. Value delivery helps to maximize the return on
investment (ROI) and value for money (VFM) of IT resources and capabilities. References:
CISA Review Manual (Digital Version)
CISA Questions, Answers & Explanations Database",True
302,206,single,Which of the following BEST facilitates the legal process in the event of an incident?,Right to perform e-discovery,Advice from legal counsel,Preserving the chain of custody,Results of a root cause analysis,,C,"The best way to facilitate the legal process in the event of an incident is to preserve the
chain of custody of the evidence. The chain of custody is a record of who handled,
accessed, or modified the evidence, when, where, how, and why. The chain of custody
helps to ensure the integrity, authenticity, and admissibility of the evidence in a court of law.
The chain of custody also helps to prevent tampering, alteration, or loss of evidence that
could compromise the investigation or the prosecution. References:
CISAReview Manual (Digital Version)
CISA Questions, Answers & Explanations Database",True
303,206,single,"Which of the following is MOST important for an IS auditor to look

for in a project feasibility study?",An assessment of whether requirements will be fully met,An assessment indicating security controls will operateeffectively,An assessment of whether the expected benefits can beachieved,An assessment indicating the benefits will exceed the implement,,C,"The most important thing for an IS auditor to look for in a project feasibility study is an
assessment of whether the expected benefits can be achieved. A project feasibility study is
a preliminary analysis that evaluates the viability and suitability of a proposed project based
on various criteria, such as technical, economic, legal, operational, and social factors. The
expected benefits are the positive outcomes and value that the project aims to deliver to
the organization and its stakeholders. The IS auditor should verify whether the project
feasibility study has clearly defined and quantified the expected benefits, and whether it
has assessed the likelihood and feasibility of achieving them within the project scope,
budget, schedule, and quality parameters. The other options are also important for an IS
auditor to look for in a project feasibility study, but not as important as an assessment of
whether the expected benefits can be achieved, because they either focus on specific
aspects of the project rather than the overall value proposition, or they assume that the
project will be implemented rather than evaluating its viability. References: CISA Review
Manual (Digital Version)1, Chapter 4, Section 4.2.1",True
304,206,single,"An IS auditor finds that the process for removing access for terminated employees is not
documented What is the MOST significant risk from this observation?",Procedures may not align with best practices,Human resources (HR) records may not match system access.,Unauthorized access cannot he identified.,Access rights may not be removed in a timely manner.,,D,"The most significant risk from this observation is that access rights may not be removed in
a timely manner. If the process for removing access for terminated employees is not
documented, there is no clear guidance or accountability for who, how, when, and what
actions should be taken to revoke the access rights of the employees who leave the
organization. This could result in delays, inconsistencies, or omissions in removing access
rights, which could allow terminated employees to retain unauthorized access to the
organization’s systems and data. This could compromise the security, confidentiality,
integrity, and availability of the information assets. References:
CISA Review Manual (Digital Version)
CISA Questions, Answers & Explanations Database",True
305,206,single,"Which of the following audit procedures would be MOST conclusive in evaluating the
effectiveness of an e-commerce application system's edit routine?",Review of program documentation,Use of test transactions,Interviews with knowledgeable users,Review of source code,,B,"The most conclusive audit procedure for evaluating the effectiveness of an e-commerce
application system’s edit routine is to use test transactions. A test transaction is a simulated
input that is processed by the system to verify its output and performance1. By using test
transactions, an auditor can directly observe how the edit routine checks the validity,
accuracy, and completeness of data entered by users, and how it handles incorrect or
invalid data. A test transaction can also help measure the efficiency, reliability, and security
of the edit routine, as well as identify any errors or weaknesses in the system.
The other options are not as conclusive as using test transactions, as they rely on indirect
or secondary sources of information. Reviewing program documentation is an audit

procedure that involves examining the written description of the system’s design,
specifications, and functionality2. However, program documentation may not reflect the
actual implementation or operation of the system, and it may not reveal any discrepancies
or defects in the edit routine. Interviews with knowledgeable users is an audit procedure
that involves asking questions to the people who use or manage the system3. However,
interviews with knowledgeable users may not provide sufficient or objective evidence of the
edit routine’s effectiveness, and they may be influenced by personal opinions or
biases. Reviewing source code is an audit procedurethat involves analyzing the
programming language and logic of the system4. However, reviewing source code may not
be feasible or practical for complex or large systems, and it may not demonstrate how the
edit routine performs in real scenarios.",True
306,206,single,"When reviewing a data classification scheme, it is MOST important for an IS auditor to
determine if.",each information asset is to a assigned to a different classification.,the security criteria are clearly documented for each classification,Senior IT managers are identified as information owner.,the information owner is required to approve access to the asset,,B,"When reviewing a data classification scheme, it is most important for an IS auditor to
determine if the security criteria are clearly documented for each classification. This will
help the IS auditor to evaluate if the data classification scheme is consistent,
comprehensive, and aligned with the organizational objectives and regulatory
requirements. The security criteria should define the level of confidentiality, integrity, and
availability for each data classification, aswell as the corresponding controls such as
access control, rights management, and cryptographic protection1. The other options are
less important or incorrect because:
A. Each information asset is not necessarily assigned to a different
classification. Data classification schemesusually have a limited number of
categories, such as “Sensitive,” “Confidential,” and “Public,” and multiple
information assets can belong to the same category2.

C. Senior IT managers are not necessarily identified as information
owners. Information owners are typically the business units or functions that
create, use, or maintain the information assets, and they may or may not be senior
IT managers3.
D. The information owner is not required to approve access to the asset. The
information owner is responsible for defining the access requirements and rules for
the asset, but the actual approval of access requests may be delegated to other
roles, such as data custodians or administrators3. References: Simplify and
Contextualize Your Data Classification Efforts - ISACA, 3.7: Establish and Maintain
a Data Classification Scheme, Data Classification and Practices - NIST, CISA
Exam Content Outline |CISA Certification | ISACA",True
307,206,single,"An IS auditor is reviewing processes for importing market price data from external data
providers. Which of the following findings should the auditor consider MOST critical?",The quality of the data is not monitored.,Imported data is not disposed frequently.,The transfer protocol is not encrypted.,The transfer protocol does not require authentication.,,A,"The most critical finding that the IS auditor should consider when reviewing processes for
importing market price data from external data providers is that the quality of the data is not
monitored. This is because market price data is essential for financial transactions, risk
management, valuation and reporting, and any errors or inaccuracies in the data can have
significant impact on the organization’s performance, reputation and compliance. The IS
auditor should ensure that the organization has established quality criteria and controls for
the imported data, such as validity, completeness, timeliness, consistency and accuracy,
and that the data is regularly checked and verified against these criteria. The other findings
are also important, but not as critical as data quality. References: CISA Review Manual
(Digital Version)1, Chapter 5, Section 5.2.7",True
308,206,single,Which of the following is MOST important when planning a network audit?,Determination of IP range in use,Analysis of traffic content,Isolation of rogue access points,Identification of existing nodes,,D,"The most important factor when planning a network audit is to identify the existing nodes
on the network. Nodes are devices or systems that are connected to the network and can
communicate with each other. Nodes can include servers, workstations, routers, switches,
firewalls, printers, scanners, cameras, etc. Identifying the existing nodes on the network will
help the auditor to determine the scope, objectives, and methodology of the audit. It will
also help the auditor to assess the network topology, architecture, performance, security,
and compliance. References:
CISA Review Manual (Digital Version)
CISA Questions, Answers & Explanations Database",True
309,206,single,"An IS auditor follows up on a recent security incident and finds the incident response was
not adequate. Which of the following findings should be considered MOST critical?",The security weakness facilitating the attack was not identified.,The attack was not automatically blocked by the intrusion detection system (IDS).,The attack could not be traced back to the originating person.,Appropriate response documentation was not maintained.,,A,"The most critical finding for an IS auditor following up on a recent security incident is that
the security weakness facilitating the attack was not identified. This finding indicates that
the root cause of the incident was not analyzed, and the vulnerability that allowed the
attack to succeed was not remediated. This means that the organization is still exposed to
the same or similar attacks in the future, and its security posture has not improved.
Identifying and addressing the security weakness is a key step in the incident response
process, as it helps to prevent recurrence, mitigate impact, and improve resilience.
The other findings are not as critical as the failure to identify the security weakness, but
they are still important issues that should be addressed by the organization. The attack was

not automatically blocked by the intrusion detection system (IDS) is a finding that suggests
that the IDS was not configured properly, or that it did not have the latest signatures or
rules to detect and prevent the attack. The attack could not be traced back to the
originating person is a finding that implies that the organization did not have sufficient
logging, monitoring, or forensic capabilities to identify and attribute the attacker.
Appropriate response documentation was not maintained is a finding that indicates that the
organization did not follow a consistent and formal incident response procedure, or that it
did not document its actions, decisions, and lessons learned from the incident.
References:
ISACA CISA Review Manual 27th Edition (2019), page 254
Incident Response Process - ISACA1
Incident Response: How to Identify and Fix Security Weaknesses",True
310,206,single,"Which of the following would be MOST effective to protect information assets in a data
center from theft by a vendor?",Monitor and restrict vendor activities,Issues an access card to the vendor.,Conceal data devices and information labels,Restrict use of portable and wireless devices.,,A,"The most effective control to protect information assets in a data center from theft by a
vendor is to monitor and restrict vendor activities. A vendor may have legitimate access to
the data center for maintenance or support purposes, but they may also have malicious
intentions or be compromised by an attacker. By monitoring and restricting vendor
activities, the organization can ensure that the vendor only performs authorized tasks and
does not access or tamper with sensitive data or equipment. Issuing an access card to the
vendor, concealing data devices and information labels, and restricting use of portable and
wireless devices are also useful controls, but they are not as effective as monitoring and
restricting vendor activities in preventing theft by a vendor. References:
CISA Review Manual, 27th Edition, page 3381
CISA Review Questions,Answers & Explanations Database - 12 Month
Subscription",True
311,206,single,Which of the following backup schemes is the BEST option when storage media is limited?,Real-time backup,Virtual backup,Differential backup,Full backup,,C,"A differential backup scheme is the best option when storage media is limited, as it only
backs up the data that has changed since the last full backup. This reduces the amount of
storage space required and also simplifies the restoration process, as only the last full
backup and the last differential backup are needed. A real-time backup scheme would
require continuous replication of data, which would consume a lot of storage space and
network bandwidth. A virtual backup scheme would create a snapshot of the data at a point
in time, but it would not reduce the storage space required, as it would still need to store
the changes made to the data. A full backup scheme would back up all the data every time,
which would require the most storage space and also take longer to
complete. References: ISACA, CISA Review Manual, 27th Edition, 2018, page 405",True
312,206,single,Which of the following would be MOST useful when analyzing computer performance?,Statistical metrics measuring capacity utilization,Operations report of user dissatisfaction with response time,Tuning of system software to optimize resource usage,Report of off-peak utilization and response time,,A,"Computer performance is the measure of how well a computer system can execute tasks
and applications within a given time frame. Computer performance can be affected by
various factors, such as hardware specifications, software configuration, network
conditions, and user behavior. To analyze computer performance, it is important to use

statistical metrics that can quantify the capacity utilization of the system resources, such as
CPU, memory, disk, and network. These metrics can help identify the bottlenecks,
inefficiencies, and anomalies that may degrade the performance of the system. Examples
of such metrics include CPU utilization, memory usage, disk throughput, network
bandwidth, and response time.
The other options are not as useful as statistical metrics when analyzing computer
performance. An operations report of user dissatisfaction with response time is a subjective
measure that may not reflect the actual performance of the system. Tuning of system
software to optimize resource usage is a corrective action that can improve performance,
but it is not a method of analysis. A report of off-peak utilization and response time is a
limited snapshot that may not capture the peak performance or the average performance of
the system.
References:
What is Computer Performance?
How to Measure Computer Performance",True
313,206,single,"Which of the following is MOST important to determine during the planning phase of a
cloud-based messaging and collaboration platform acquisition?",Role-based access control policies,Types of data that can be uploaded to the platform,Processes for on-boarding and off-boarding users to the platform,Processes for reviewing administrator activity,,B,"The most important thing to determine during the planning phase of a cloud-based
messaging and collaboration platform acquisition is the types of data that can be uploaded
to the platform. This is because different types of data may have different security, privacy,
and compliance requirements, depending on the nature, sensitivity, and value of the data.
For example, personal data, financial data, health data, or intellectual property data may be
subject to various laws and regulations thatgovern how they can be collected, stored,
processed, and shared in the cloud. Therefore, it is essential to identify and classify the
types of data that will be uploadedto the platform, and ensure that the platform meets the
organization’s policies and standards for data protection1.
The other options are not as important as the types of data that can be uploaded to the

platform during the planning phase of a cloud-based messaging and collaboration platform
acquisition. Option A, role-based access control policies, is a mechanism that defines who
can access what data and resources on the platform based on their roles and
responsibilities. Role-based access control policies are important for ensuring data security
and accountability, but they can be designed and implemented after the platform is
acquired2. Option C, processes for on-boarding and off-boarding users to the platform, are
procedures that enable or disable user accounts and access rights on the
platform. Processes for on-boarding and off-boarding users are important for managing
user identities and lifecycles, but they can be developed and executed after the platform is
acquired3. Option D, processes for reviewing administrator activity, are methods that
monitor and audit the actions and events performed by administrators on the
platform. Processes for reviewing administrator activity are important for detecting and
preventing unauthorized or malicious activities, but they can be established and performed
after the platform is acquired4.
References:
Cloud Messaging and Collaboration Services - Maryland.gov DoIT4
MessageBird acquires real-time notifications and in-app messaging platform
Pusher for$35M | TechCrunch2
Symphony to lead financial market communicationswith the acquisition of Cloud9
Technologies3
Cloud messaging and collaboration | Sumo Logic",True
314,206,single,"When verifying the accuracy and completeness of migrated data for a new application
system replacing a legacy system. It is MOST effective for an IS auditor to review;",data analytics findings.,audit trails,acceptance lasting results,rollback plans,,A,"When verifying the accuracy and completeness of migrated data for a new application
system replacing a legacy system, it is most effective for an IS auditor to review data
analytics findings. Data analytics is a technique that uses software tools and statistical
methods to analyze large volumes of data and identify patterns, anomalies, errors or
inconsistencies. Data analytics can help to compare the source and target data sets,

validate the data quality and integrity, and detect any data loss or corruption during the
migration process. The other options are not as effective, because audit trails only record
the actions performed on the data, acceptance testingresults only verify the functionality of
the new system, and rollback plans only provide contingency measures in case of
migration failure. References: CISA Review Manual (Digital Version)1, Chapter 5, Section
5.2.6",True
315,206,single,"Which of the following is the BEST way to ensure that business continuity plans (BCPs) will
work effectively in the event of a major disaster?",Prepare detailed plans for each business function.,Involve staff at all levels in periodic paper walk-through exercises.,Regularly update business impact assessments.,Make senior managers responsible for their plan sections.,,B,"The best way to ensure that business continuity plans (BCPs) will work effectively in the
event of a major disaster is to involve staff at all levels in periodic paper walk-through
exercises. This means that the BCPs are tested and validated by the people who will
execute them in a real situation, and any gaps, errors, or inconsistencies can be identified
and corrected. Paper walk-through exercises are also a good way to raise awareness and
train staff on their roles and responsibilities in a BCP scenario, as well as to evaluate the
feasibility and effectiveness of the recovery strategies1.
The other options are not the best ways to ensure that BCPs will work effectively, because
they do not involve testing or validating the plans. Preparing detailed plans for each
business function is important, but it does not guarantee that the plans are realistic,
practical, or aligned with the overall business objectives and priorities2. Regularly updating
business impact assessments is also essential, but it does not ensure that the BCPs are
aligned with the current business environment and risks2. Making senior managers
responsible for their plan sections is a good way to assign accountability and authority, but
it does not ensure that the plansections are coordinated and integrated with each
other2. References:
Best Practice Guide: Business Continuity Planning (BCP)3
Best Practices for Creating a Business Continuity Plan1
Business Continuity Plan Best Practices",True
316,206,single,The PRIMARY benefit of information asset classification is that it:,prevents loss of assets.,helps to align organizational objectives.,facilitates budgeting accuracy.,enables risk management decisions.,,D,"The primary benefit of information asset classification is that it enables risk management
decisions. Information asset classification helps to identify the value, sensitivity and
criticality of information assets, and to determine the appropriate level of protection and
controls required for them. This facilitates risk assessment and risk treatment processes,
and ensures that information assets are aligned with business objectives and regulatory
requirements. Preventing loss of assets, helping to align organizational objectives or
facilitating budgeting accuracy are secondary benefits of information asset classification,
but not the main purpose. References: ISACA, CISA Review Manual, 27th Edition, 2018,
page 300",True
317,206,single,"Which of the following would BEST detect that a distributed denial of service (DDoS) attack
is occurring?",Customer service complaints,Automated monitoring of logs,Server crashes,Penetration testing,,B,"The best way to detect that a distributed denial of service (DDoS) attack is occurring is to
use automated monitoring of logs. A DDoS attack disrupts the operations of a server,

service, or network byflooding it with unwanted Internet traffic2. Automated monitoring of
logs can help pinpoint potentialDDoS attacks by analyzing network traffic patterns,
monitoring traffic spikes or other unusual activity, and alertingadministrators or security
teams of any anomalies or malicious requests, protocols, or IP blocks3. Automated
monitoring of logs can also help identify the source, type, and impact of the DDoS attack,
and provide evidence for further investigation or mitigation.
The other options are not as effective as automated monitoring of logs for detecting DDoS
attacks. Customer service complaints are an indirect and delayed indicator of a DDoS
attack, as they rely onusers reporting problems with accessing a website or service.
Customer service complaints may also be caused by other factors unrelated to DDoS
attacks, such as server errors or network issues. Server crashes are an extreme and
undesirable indicator of a DDoS attack, as they indicate that the server has already been
overwhelmed by the attack and has stopped functioning. Server crashes may also result in
data loss or corruption, service disruption, or reputational damage. Penetration testing is a
proactive and preventive measure for assessing the security posture of a system or
network, but it does not detect ongoing DDoS attacks. Penetration testing may involve
simulating DDoS attacks to test the resilience or vulnerability of a system or network, but it
does not monitor real-time traffic or identify actual attackers.
References:
ISACA CISA Review Manual 27th Edition (2019), page 254
How to prevent DDoS attacks | Methods and tools | Cloudflare2
Understanding Denial-of-Service Attacks | CISA3",True
318,206,single,"Which of the following security measures will reduce the risk of propagation when a
cyberattack occurs?",Perimeter firewall,Data loss prevention (DLP) system,Web application firewall,Network segmentation,,D,"Network segmentation is the best security measure to reduce the risk of propagation when

a cyberattack occurs, because it divides the network into smaller subnetworks that are
isolated from each other and have different access controls and security policies. This
limits the spread of malicious traffic and prevents attackers from accessing sensitive data
or systems in other segments. Aperimeter firewall, a data loss prevention (DLP) system,
and a web application firewall are also useful security measures, but they do not prevent
propagation within the network as effectively as network segmentation
does. References: CISA Review Manual (Digital Version)1, Chapter 5, Section 5.2.3",True
319,206,single,"Which of the following is the PRIMARY advantage of using visualization technology for
corporate applications?",Improved disaster recovery,Better utilization of resources,Stronger data security,Increased application performance,,B,"Visualization technology is the use of software and hardware to create graphical
representations of data, such as charts, graphs, maps, images, etc. Visualization
technology can help users to understand, analyze, and communicate complex and large
amounts of data in an intuitive and engaging way1.
One of the primary advantages of using visualization technology for corporate applications
is that it can improve the utilization of resources, such as time, money, human capital, and
physical assets. Some of the ways that visualization technology can achieve this are:
Visualization technology can help users to quickly and easily explore, filter, and
interact with data, reducing the need for manual data processing and analysis1.
This can save time and effort for both data producers and consumers, and allow
them to focus on more value-added tasks.
Visualization technology can help users to discover patterns, trends, outliers,
correlations, and causations in data that may otherwise be hidden or overlooked in
traditional reports or tables1. This can enable users to make better and faster
decisions based on data-driven insights, and optimize their strategies and actions
accordingly.
Visualization technology can help users to communicate and share data more
effectively and persuasively with different audiences, such as customers,
partners,investors, regulators, etc1. This can enhance the reputation and credibility
of the organization, and foster collaboration and innovation among stakeholders.

Visualization technology can help users to monitor and measure the performance
and impact of their activities, products, services, or processes1. This can help
users to identify problems or opportunities for improvement, and adjust their plans
or actions accordingly.
Visualization technology can help users to create engaging and interactive
experiences for their customers or end-users1. This can increase customer
satisfaction and loyalty, and generate more revenue or value for the organization.
Therefore, using visualization technology for corporate applications can help organizations
to better utilize their resources and achieve their goals.
References:
ISACA, CISA Review Manual, 27th Edition, 2019
ISACA, CISA Review Questions, Answers & Explanations Database - 12 Month
Subscription
TechRadar Blog, Best data visualization tools of 20232
IBM Blog, What is Data Visualization?3
TDWI Blog, Data Visualization Technology4
Tableau Blog, What are the advantages and disadvantagesof data visualization?",True
320,206,single,"A warehouse employee of a retail company has been able to conceal the theft of inventory
items by entering adjustments of either damaged or lost stock items lo the inventory
system. Which control would have BEST prevented this type of fraud in a retail
environment?",Separate authorization for input of transactions,Statistical sampling of adjustment transactions,Unscheduled audits of lost stock lines,An edit check for the validity of the inventory transaction,,A,"Separate authorization for input of transactions. This control would have best prevented
this type of fraud in a retail environment by ensuring that the warehouse employee who
handles the inventory items does not have the authority to enter adjustments to the
inventory system. This would create a segregation of duties that would reduce the risk of
collusion and concealment of theft.
The other options are not as effective as option A in preventing this type of fraud. Option B,
statistical sampling of adjustment transactions, is a detective control that may help identify
fraudulent transactions after they have occurred, but it does not prevent them from
happening in the first place. Option C, unscheduled audits of lost stock lines, is also a

detective control that may reveal discrepancies between the physical and recorded
inventory, but it does not address the root cause of the fraud. Option D, an edit check for
the validity of the inventory transaction, is a preventive control that may help verify the
accuracy and completeness of the transaction data, but it does not prevent unauthorized or
fraudulent adjustments.
References:
ISACA, CISA Review Manual, 27th Edition, 2019
ISACA, CISA Review Questions, Answers & Explanations Database - 12 Month
Subscription
Different Types of Inventory Fraud and How to Prevent Them1
6 Ways to Prevent Inventory Fraud in Your Business2",True
321,206,single,"Which of the following is MOST important for an IS auditor to determine during the detailed
design phase of a system development project?",Program coding standards have been followed,Acceptance test criteria have been developed,Data conversion procedures have been established.,The design has been approved by senior management.,,B,"The most important thing for an IS auditor to determine during the detailed design phase of
a system development project is that acceptance test criteria have been developed.
Acceptance test criteria define the expected functionality, performance and quality of the
system, and are used to verify that the system meets the user requirements and
specifications. The IS auditor should ensure that the acceptance test criteria are clear,
measurable and agreed upon by all stakeholders. Program coding standards have been
followed is something that the IS auditor should check during the coding or testing phase,
not the detailed design phase. Data conversion procedures have been established or the
design has been approved by senior management are things that the IS auditor should
verify during the implementation phase, not the detailed design phase. References: ISACA,
CISA Review Manual, 27th Edition, 2018, page 323",True
322,206,single,"Which of the following is the BEST way to ensure that an application is performing
according to its specifications?",Unit testing,Pilot testing,System testing,Integration testing,,D,"Integration testing is the best way to ensure that an application is performing according to
its specifications, because it tests the interaction and compatibility of different modules or
components of the application. Unit testing, pilot testing and system testing are also
important, but they do not cover the whole functionality and integration of the application as
well as integration testing does. References: CISA Review Manual (Digital Version)1,
Chapter 4, Section 4.2.3",True
